date,pm10,pm25,pm1,temperature,humidity,id,CO_CALIBRATED,SO2_CALIBRATED
2022-05-01 00:00:00+00:00,9.22,8.41,6.01,23.19,68.91,7205,400.94,2.29
2022-05-01 00:05:00+00:00,9.42,8.58,6.22,23.16,68.76,7205,381.57,2.14
2022-05-01 00:10:00+00:00,9.97,9.32,6.14,23.12,68.58,7205,384.20,2.26
2022-05-01 00:15:00+00:00,9.54,8.63,6.09,23.09,68.44,7205,395.36,2.34
2022-05-01 00:20:00+00:00,10.32,9.09,6.20,23.06,68.27,7205,393.06,2.38
2022-05-01 00:25:00+00:00,10.44,9.29,6.30,23.01,68.07,7205,397.30,2.36
2022-05-01 00:30:00+00:00,9.72,9.01,6.38,22.97,67.88,7205,404.47,2.48
2022-05-01 00:35:00+00:00,9.83,9.10,6.45,22.93,67.68,7205,399.91,2.53
2022-05-01 00:40:00+00:00,9.47,8.92,6.89,22.89,67.51,7205,409.86,2.51
2022-05-01 00:45:00+00:00,10.27,9.70,6.92,22.85,67.34,7205,413.04,2.56
2022-05-01 00:50:00+00:00,10.65,9.86,7.27,22.82,67.20,7205,427.61,2.60
2022-05-01 00:55:00+00:00,10.58,9.92,7.12,22.80,67.10,7205,438.17,2.61
2022-05-01 01:00:00+00:00,10.46,9.97,7.32,21.75,72.20,7205,442.07,2.60
2022-05-01 01:05:00+00:00,11.34,10.01,7.05,21.73,72.08,7205,429.63,2.49
2022-05-01 01:10:00+00:00,10.95,10.13,7.18,21.71,72.00,7205,435.21,2.56
2022-05-01 01:15:00+00:00,11.28,10.42,7.33,21.68,71.88,7205,444.34,2.62
2022-05-01 01:20:00+00:00,11.03,9.99,7.19,21.65,71.74,7205,446.79,2.60
2022-05-01 01:25:00+00:00,11.96,10.88,6.85,21.62,71.60,7205,443.55,2.53
2022-05-01 01:30:00+00:00,11.18,10.07,7.06,21.61,71.55,7205,447.79,2.53
2022-05-01 01:35:00+00:00,11.58,10.74,7.46,21.60,71.51,7205,451.59,2.41
2022-05-01 01:40:00+00:00,11.76,10.94,7.39,21.59,71.46,7205,450.62,2.41
2022-05-01 01:45:00+00:00,12.60,11.33,7.72,21.57,71.37,7205,446.05,2.46
2022-05-01 01:50:00+00:00,12.67,11.83,7.94,21.56,71.29,7205,439.84,2.27
2022-05-01 01:55:00+00:00,10.86,10.04,7.28,21.54,71.23,7205,438.91,2.29
2022-05-01 02:00:00+00:00,13.03,11.66,8.08,21.53,71.19,7205,434.88,2.27
2022-05-01 02:05:00+00:00,11.02,10.29,7.16,20.86,74.27,7205,424.86,2.25
2022-05-01 02:10:00+00:00,12.34,11.73,8.13,20.84,74.17,7205,425.26,2.18
2022-05-01 02:15:00+00:00,12.19,11.61,7.93,20.82,74.12,7205,432.04,2.25
2022-05-01 02:20:00+00:00,14.06,12.49,8.42,20.81,74.04,7205,432.07,2.10
2022-05-01 02:25:00+00:00,14.89,13.68,9.03,20.80,74.03,7205,440.93,2.20
2022-05-01 02:30:00+00:00,13.41,12.85,8.71,20.80,73.99,7205,431.14,2.06
2022-05-01 02:35:00+00:00,13.14,12.39,8.76,20.80,74.01,7205,428.28,2.09
2022-05-01 02:40:00+00:00,13.11,12.69,8.67,20.81,74.05,7205,423.73,1.93
2022-05-01 02:45:00+00:00,13.80,12.62,8.52,20.83,74.13,7205,423.28,1.99
2022-05-01 02:50:00+00:00,12.44,12.01,8.79,20.86,74.30,7205,431.68,2.09
2022-05-01 02:55:00+00:00,13.97,12.36,8.90,20.88,74.38,7205,426.28,2.07
2022-05-01 03:00:00+00:00,13.66,12.56,8.84,20.90,74.46,7205,421.23,2.31
2022-05-01 03:05:00+00:00,13.99,13.23,8.76,20.92,74.59,7205,438.75,2.65
